"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1913/04/01","00:00","1.805","1.464","1.32","0.708","0.726","0.135","-0.243","-0.511","0"
"1913/05/01","00:00","1.836","1.534","1.327","0.717","0.741","0.156","-0.277","-0.542","0"
"1913/06/01","00:00","1.836","1.616","1.372","0.766","0.793","0.211","-0.252","-0.542","0"
"1913/07/01","00:00","1.805","1.637","1.4","0.793","0.815","0.232","-0.237","-0.633","0"
"1913/08/01","00:00","1.897","1.653","1.445","0.83","0.848","0.251","-0.124","-0.542","0"
"1913/09/01","00:00","1.775","1.613","1.47","0.851","0.863","0.26","-0.045","-0.268","0"
"1913/10/01","00:00","1.927","1.503","1.397","0.781","0.796","0.196","-0.149","-0.511","0"
"1913/11/01","00:00","1.927","1.601","1.439","0.808","0.833","0.229","-0.182","-0.694","0"
"1913/12/01","00:00","2.049","1.641","1.412","0.784","0.808","0.208","-0.243","-0.603","0"
"1914/01/01","00:00","2.14","1.778","1.516","0.933","0.964","0.412","0.001","-0.511","0"
"1914/02/01","00:00","1.988","1.665","1.445","0.875","0.897","0.348","-0.002","-0.45","0"
"1914/03/01","00:00","1.866","1.57","1.433","0.848","0.866","0.302","-0.024","-0.359","0"
"1914/04/01","00:00","1.836","1.546","1.403","0.805","0.833","0.263","-0.103","-0.481","0"
"1914/05/01","00:00","1.927","1.61","1.421","0.815","0.848","0.275","-0.13","-0.603","0"
"1914/06/01","00:00","1.958","1.641","1.403","0.793","0.824","0.245","-0.21","-0.633","0"
"1914/07/01","00:00","1.927","1.689","1.442","0.83","0.854","0.269","-0.188","-0.572","0"
"1914/08/01","00:00","1.866","1.705","1.494","0.875","0.9","0.306","-0.06","-0.45","0"
"1914/09/01","00:00","1.897","1.634","1.488","0.869","0.891","0.296","-0.03","-0.298","0"
"1914/10/01","00:00","1.958","1.628","1.509","0.891","0.912","0.318","-0.045","-0.481","0"
"1914/11/01","00:00","2.018","1.647","1.482","0.857","0.885","0.287","-0.155","-0.633","0"
"1914/12/01","00:00","2.262","1.823","1.598","0.97","1","0.403","-0.06","-0.45","0"
"1915/01/01","00:00","2.262","1.735","1.522","0.9","0.927","0.333","-0.085","-0.664","0"
"1915/02/01","00:00","2.079","1.762","1.567","0.985","1.007","0.446","0.123","-0.389","0"
"1915/03/01","00:00","1.775","1.549","1.412","0.833","0.845","0.281","-0.011","-0.328","0"
"1915/04/01","00:00","1.927","1.558","1.409","0.818","0.839","0.272","-0.051","-0.633","0"
"1915/05/01","00:00","1.988","1.595","1.4","0.796","0.827","0.254","-0.13","-0.664","0"
"1915/06/01","00:00","1.897","1.564","1.345","0.747","0.778","0.211","-0.225","-0.786","0"
"1915/07/01","00:00","1.988","1.668","1.415","0.808","0.827","0.241","-0.191","-0.511","0"
"1915/08/01","00:00","1.866","1.631","1.415","0.815","0.83","0.248","-0.1","-0.359","0"
"1915/09/01","00:00","1.775","1.631","1.464","0.863","0.879","0.293","-0.042","-0.268","0"
"1915/10/01","00:00","1.775","1.543","1.403","0.796","0.815","0.226","-0.143","-0.389","0"
"1915/11/01","00:00","2.049","1.598","1.4","0.772","0.793","0.19","-0.243","-0.572","0"
"1915/12/01","00:00","2.018","1.637","1.409","0.784","0.805","0.205","-0.255","-0.755","0"
"1916/01/01","00:00","2.201","1.772","1.537","0.927","0.952","0.37","-0.027","-0.603","0"
"1916/02/01","00:00","1.927","1.613","1.418","0.833","0.848","0.281","-0.024","-0.694","0"
"1916/03/01","00:00","1.836","1.525","1.375","0.79","0.808","0.241","-0.042","-0.389","0"
"1916/04/01","00:00","1.714","1.458","1.314","0.729","0.744","0.177","-0.152","-0.542","0"
"1916/05/01","00:00","1.836","1.494","1.287","0.696","0.714","0.144","-0.252","-0.725","0"
"1916/06/01","00:00","1.927","1.546","1.311","0.714","0.741","0.174","-0.249","-0.664","0"
"1916/07/01","00:00","1.958","1.634","1.391","0.787","0.805","0.22","-0.207","-0.633","0"
"1916/08/01","00:00","1.836","1.589","1.384","0.781","0.793","0.205","-0.14","-0.603","0"
"1916/09/01","00:00","1.744","1.537","1.394","0.79","0.799","0.208","-0.091","-0.42","0"
"1916/10/01","00:00","1.744","1.522","1.4","0.787","0.805","0.214","-0.136","-0.511","0"
"1916/11/01","00:00","1.866","1.531","1.342","0.717","0.735","0.132","-0.298","-0.664","0"
"1916/12/01","00:00","2.201","1.625","1.388","0.76","0.781","0.174","-0.268","-0.694","0"
"1917/01/01","00:00","1.897","1.622","1.378","0.76","0.775","0.174","-0.231","-0.725","0"
"1917/02/01","00:00","2.11","1.613","1.406","0.793","0.811","0.217","-0.103","-0.481","0"
"1917/03/01","00:00","1.592","1.442","1.278","0.69","0.699","0.123","-0.194","-0.42","0"
"1917/04/01","00:00","1.744","1.452","1.296","0.699","0.714","0.132","-0.219","-0.45","0"
"1917/05/01","00:00","1.744","1.509","1.299","0.705","0.726","0.153","-0.268","-0.542","0"
"1917/06/01","00:00","1.714","1.558","1.317","0.726","0.747","0.177","-0.277","-0.664","0"
"1917/07/01","00:00","1.958","1.659","1.418","0.815","0.83","0.245","-0.176","-0.511","0"
"1917/08/01","00:00","1.897","1.57","1.394","0.784","0.796","0.199","-0.118","-0.542","0"
"1917/09/01","00:00","1.744","1.549","1.418","0.811","0.821","0.223","-0.039","-0.298","0"
"1917/10/01","00:00","1.836","1.534","1.43","0.815","0.827","0.223","-0.085","-0.481","0"
"1917/11/01","00:00","1.836","1.558","1.394","0.775","0.79","0.187","-0.17","-0.603","0"
"1917/12/01","00:00","1.897","1.628","1.406","0.781","0.799","0.193","-0.197","-0.542","0"
"1918/01/01","00:00","1.866","1.604","1.354","0.735","0.747","0.144","-0.234","-0.603","0"
"1918/02/01","00:00","1.744","1.58","1.372","0.76","0.766","0.162","-0.143","-0.572","0"
"1918/03/01","00:00","1.836","1.552","1.409","0.815","0.818","0.229","-0.036","-0.298","0"
"1918/04/01","00:00","1.836","1.516","1.372","0.769","0.784","0.199","-0.127","-0.511","0"
"1918/05/01","00:00","1.866","1.583","1.378","0.772","0.787","0.199","-0.182","-0.633","0"
"1918/06/01","00:00","1.958","1.711","1.464","0.848","0.863","0.266","-0.127","-0.511","0"
"1918/07/01","00:00","1.927","1.689","1.455","0.836","0.851","0.248","-0.143","-0.42","0"
"1918/08/01","00:00","1.805","1.686","1.491","0.875","0.885","0.281","-0.039","-0.328","0"
"1918/09/01","00:00","1.927","1.671","1.534","0.918","0.927","0.324","0.059","-0.176","0"
"1918/10/01","00:00","1.988","1.622","1.509","0.891","0.903","0.296","-0.005","-0.389","0"
"1918/11/01","00:00","2.354","1.708","1.522","0.897","0.909","0.299","-0.054","-0.45","0"
"1918/12/01","00:00","2.049","1.692","1.47","0.842","0.86","0.251","-0.127","-0.542","0"
"1919/01/01","00:00","1.958","1.628","1.43","0.811","0.824","0.22","-0.1","-0.572","0"
"1919/02/01","00:00","2.049","1.589","1.406","0.815","0.824","0.241","-0.002","-0.42","0"
"1919/03/01","00:00","1.836","1.5","1.384","0.784","0.79","0.199","-0.042","-0.298","0"
"1919/04/01","00:00","1.927","1.467","1.354","0.751","0.757","0.162","-0.109","-0.42","0"
"1919/05/01","00:00","1.988","1.573","1.406","0.793","0.811","0.217","-0.118","-0.633","0"
"1919/06/01","00:00","1.958","1.607","1.388","0.772","0.784","0.181","-0.182","-0.603","0"
"1919/07/01","00:00","1.897","1.674","1.439","0.818","0.83","0.22","-0.136","-0.481","0"
"1919/08/01","00:00","1.805","1.637","1.433","0.818","0.824","0.217","-0.091","-0.328","0"
"1919/09/01","00:00","1.775","1.625","1.488","0.869","0.882","0.272","0.007","-0.115","0"
"1919/10/01","00:00","1.866","1.58","1.461","0.839","0.854","0.241","-0.063","-0.298","0"
"1919/11/01","00:00","1.836","1.57","1.403","0.769","0.784","0.165","-0.228","-0.664","0"
"1919/12/01","00:00","2.14","1.659","1.439","0.796","0.815","0.19","-0.2","-0.664","0"
"1920/01/01","00:00","2.018","1.647","1.439","0.802","0.818","0.196","-0.152","-0.694","0"
"1920/02/01","00:00","1.927","1.577","1.421","0.79","0.796","0.171","-0.082","-0.481","0"
"1920/03/01","00:00","1.836","1.485","1.372","0.744","0.754","0.135","-0.103","-0.359","0"
"1920/04/01","00:00","1.683","1.424","1.302","0.687","0.693","0.083","-0.2","-0.603","0"
"1920/05/01","00:00","1.897","1.531","1.357","0.741","0.754","0.153","-0.182","-0.542","0"
"1920/06/01","00:00","1.927","1.619","1.4","0.778","0.797","0.193","-0.173","-0.694","0"
"1920/07/01","00:00","1.897","1.601","1.378","0.763","0.772","0.165","-0.194","-0.633","0"
"1920/08/01","00:00","1.897","1.622","1.442","0.83","0.83","0.22","-0.054","-0.389","0"
"1920/09/01","00:00","1.653","1.534","1.415","0.802","0.802","0.193","-0.03","-0.328","0"
"1920/10/01","00:00","1.836","1.537","1.43","0.802","0.811","0.196","-0.072","-0.389","0"
"1920/11/01","00:00","1.927","1.595","1.436","0.796","0.811","0.19","-0.161","-0.633","0"
